title: 2013 California Efficiency Standards,,,,,
# PRESCRIPTIVE ENVELOPE CRITERIA FOR NONRESIDENTIAL BUILDINGS (INCLUDING RELOCATABLE PUBLIC SCHOOL BUILDINGS WHERE MANUFACTURER CERTIFIES USE ONLY IN SPECIFIC CLIMATE ZONE; NOT INCLUDING HIGH-RISE RESIDENTIAL BUILDINGS AND GUEST ROOMS OF HOTEL/MOTEL BUILDINGS),,,,,
# For opaque envelope: see Table 140.3-B,,,,,
table:   Opaque Envelope Requirements | Climate Zone 1,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.065,,"0.75 Thermal Emittance, and 0.63 (low-sloped) or 0.2 (steep-sloped) Aged Solar Reflectance"
Roofs | Wood Framed and Other,0,,0.049,,"0.75 Thermal Emittance, and 0.63 (low-sloped) or 0.2 (steep-sloped) Aged Solar Reflectance"
Walls Above Grade | Metal Building,0,,0.113,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.098,,
Walls Above Grade | Mass Light,0,,0.196,,
Walls Above Grade | Mass Heavy,0,,0.253,,
Walls Above Grade | Wood Framed and Other,0,,0.102,,
Floors | Mass,,,0.092,,
Floors | Other,,,0.048,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,0.5,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 2,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.065,,"0.75 Thermal Emittance, and 0.63 (low-sloped) or 0.2 (steep-sloped) Aged Solar Reflectance"
Roofs | Wood Framed and Other,0,,0.039,,"0.75 Thermal Emittance, and 0.63 (low-sloped) or 0.2 (steep-sloped) Aged Solar Reflectance"
Walls Above Grade | Metal Building,0,,0.061,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.062,,
Walls Above Grade | Mass Light,0,,0.17,,
Walls Above Grade | Mass Heavy,0,,0.65,,
Walls Above Grade | Wood Framed and Other,0,,0.059,,
Floors | Mass,,,0.092,,
Floors | Other,,,0.039,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 3,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
