title: 1995 California Efficiency Standards,,,,,
# PRESCRIPTIVE ENVELOPE CRITERIA FOR HIGH-RISE RESIDENTIAL BUILDINGS AND GUEST ROOMS OF HOTEL/MOTEL BUILDINGS,,,,,
# For opaque envelope: see Section 143-A Table NO. 1-J,,,,,
table:   Opaque Envelope Requirements | Climate Zone 1,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.037,,"NR Thermal Emittance, NR Aged Solar Reflectance"
Roofs | Wood Framed and Other,0,,0.037,,"NR Thermal Emittance, NR Aged Solar Reflectance"
Walls Above Grade | Metal Building,0,,0.14,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.14,,
Walls Above Grade | Mass Light,0,,0.34,,
Walls Above Grade | Mass Heavy,0,,0.36,,
Walls Above Grade | Wood Framed and Other,0,,0.063,,
Floors | Mass,,,0.097,,
Floors | Other,,,0.05,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 2,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Wood Framed and Other,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Walls Above Grade | Metal Building,0,,0.181,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.181,,
Walls Above Grade | Mass Light,0,,0.43,,
