title: 1975 California Efficiency Standards,,,,,
# PRESCRIPTIVE ENVELOPE CRITERIA FOR NONRESIDENTIAL BUILDINGS (INCLUDING RELOCATABLE PUBLIC SCHOOL BUILDINGS WHERE MANUFACTURER CERTIFIES USE ONLY IN SPECIFIC CLIMATE ZONE; NOT INCLUDING HIGH-RISE RESIDENTIAL BUILDINGS AND GUEST ROOMS OF HOTEL/MOTEL BUILDINGS),,,,,
# For opaque envelope: see Table 143-A,,,,,
table:   Opaque Envelope Requirements | Climate Zone 1,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Wood Framed and Other,0,,0.084,,"NR Thermal Emittance, NR Aged Solar Reflectance"
Roofs | Metal Buildings,0,,0.084,,"NR Thermal Emittance, NR Aged Solar Reflectance"
Roofs | Mass Heavy,0,,0.084,,Air Barrier - Not Required
Walls Above Grade | Wood Framed and Other,0,,0.098,,
Walls Above Grade | Metal Framed,0,,0.156,,
Walls Above Grade | Mass Heavy,0,,0.193,,
Floor | Above Crawl Space,,,0.231,,
Floors | Mass,,,0.092,,
Floors | Other,,,0.048,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,0.5,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 2,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Wood Framed and Other,0,,0.084,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Metal Buildings,0,,0.084,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Mass Heavy,0,,0.084,,Air Barrier - Not Required
Walls Above Grade | Wood Framed and Other,0,,0.098,,
Walls Above Grade | Metal Framed,0,,0.156,,
Walls Above Grade | Mass Heavy,0,,0.193,,
Floor | Above Crawl Space,,,0.231,,
Floors | Mass,,,0.092,,
Floors | Other,,,0.039,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 3,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Wood Framed and Other,0,,0.084,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Metal Buildings,0,,0.084,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Mass Heavy,0,,0.084,,Air Barrier - Not Required
Walls Above Grade | Wood Framed and Other,0,,0.098,,
Walls Above Grade | Metal Framed,0,,0.156,,
Walls Above Grade | Mass Heavy,0,,0.193,,
Floor | Above Crawl Space,,,0.231,,
Floors | Mass,,,0.269,,
Floors | Other,,,0.071,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 4,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Wood Framed and Other,0,,0.084,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Metal Buildings,0,,0.084,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Mass Heavy,0,,0.084,,Air Barrier - Not Required
Walls Above Grade | Wood Framed and Other,0,,0.098,,
Walls Above Grade | Metal Framed,0,,0.156,,
Walls Above Grade | Mass Heavy,0,,0.193,,
Floor | Above Crawl Space,,,0.231,,
Floors | Mass,,,0.269,,
Floors | Other,,,0.071,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 5,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Wood Framed and Other,0,,0.084,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Metal Buildings,0,,0.084,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Mass Heavy,0,,0.084,,Air Barrier - Not Required
Walls Above Grade | Wood Framed and Other,0,,0.098,,
Walls Above Grade | Metal Framed,0,,0.156,,
Walls Above Grade | Mass Heavy,0,,0.193,,
Floor | Above Crawl Space,,,0.231,,
Floors | Mass,,,0.269,,
Floors | Other,,,0.071,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 6,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Wood Framed and Other,0,,0.084,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Metal Buildings,0,,0.084,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
