Bldg,CZ,Kind,TechID,MappedRun,srcCool,fileCool,MATCH
MFm,2,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,6395.38,6395.38,Y
MFm,3,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,10751.99,10751.99,Y
MFm,3,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,8298.68,8298.68,Y
MFm,4,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,20406.96,20406.96,Y
MFm,4,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,15750.63,15750.63,Y
MFm,5,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,9633.99,9633.99,Y
MFm,5,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,7435.77,7435.77,Y
MFm,6,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,12619.14,12619.14,Y
MFm,6,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,9739.79,9739.79,Y
MFm,7,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,10066.02,10066.02,Y
MFm,7,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,7769.22,7769.22,Y
MFm,8,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,27556.45,27556.45,Y
MFm,8,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,21268.81,21268.81,Y
MFm,9,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,27220.9,27220.9,Y
MFm,9,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,21009.81,21009.81,Y
MFm,10,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,27777.77,27777.77,Y
MFm,10,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,21439.62,21439.62,Y
MFm,11,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,38680.39,38680.39,Y
MFm,11,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,29854.56,29854.56,Y
MFm,12,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,16959.56,16959.56,Y
MFm,12,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,13089.84,13089.84,Y
MFm,13,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,49806.28,49806.28,Y
MFm,13,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,38441.81,38441.81,Y
MFm,14,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,29545.37,29545.37,Y
MFm,14,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,22803.91,22803.91,Y
MFm,15,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,88094.08,88094.08,Y
MFm,15,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,67993.36,67993.36,Y
MFm,16,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,11085.79,11085.79,Y
MFm,16,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,8556.31,8556.31,Y
MFm,1,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,1576.43,1576.43,Y
MFm,1,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,1216.73,1216.73,Y
MFm,2,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,8286.03,8286.03,Y
MFm,2,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,6395.38,6395.38,Y
MFm,3,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,10751.99,10751.99,Y
MFm,3,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,8298.68,8298.68,Y
MFm,4,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,20406.96,20406.96,Y
MFm,4,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,15750.63,15750.63,Y
MFm,5,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,9633.99,9633.99,Y
MFm,5,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,7435.77,7435.77,Y
MFm,6,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,12619.14,12619.14,Y
MFm,6,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,9739.79,9739.79,Y
MFm,7,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,10066.02,10066.02,Y
MFm,7,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,7769.22,7769.22,Y
MFm,8,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,27556.45,27556.45,Y
MFm,8,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,21268.81,21268.81,Y
MFm,9,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,27220.9,27220.9,Y
MFm,9,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,21009.81,21009.81,Y
MFm,10,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,27777.77,27777.77,Y
MFm,10,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,21439.62,21439.62,Y
