title: 2013 California Efficiency Standards,,,,
,,,,
# For opaque envelope: see Table 140.3-B,,,,
table:   Opaque Envelope Requirements | Climate Zone 1,,,,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 8,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 9,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 10,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 11,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 12,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 13,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 14,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 15,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
Operable Window,0.46,0.22,0.32,
Curtainwall or Storefront,0.41,0.26,0.46,
Glazed Doors,0.45,0.23,0.17,
"Skylights | Glass, curb mounted",0.58,0.25,0.49,
"Skylights | Glass, deck mounted",0.46,0.25,0.49,
"Skylights | Plastic, curb mounted",0.88,,0.64,
Skylights | Tubular Daylighting Devices (TDDs),0.88,,0.64,
,,,,
table: Fenestration Requirements | Climate Zone 16,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.36,0.25,0.42,
